!表層型,!品詞,!活用形,!活用型,!原型,!品詞分類,!前接続0,!前接続1,!後接続0,!後接続1
れる,助動詞,終止形,下一段,れる,*,未然形,*,*,*
られる,助動詞,終止形,下一段,られる,*,未然形,*,*,*
せる,助動詞,終止形,下一段,せる,*,未然形,*,*,*
させる,助動詞,終止形,下一段,させる,*,未然形,*,*,*
ない,助動詞,終止形,形容詞,ない,*,未然形,*,*,*
ぬ,助動詞,終止形,特殊,ぬ,*,未然形,*,*,*
ん,助動詞,終止形,特殊,ん,*,未然形,*,*,*
う,助動詞,終止形,不変化,う,*,未然形,*,*,*
よう,助動詞,終止形,不変化,よう,*,未然形,*,*,*
まい,助動詞,終止形,不変化,まい,*,未然形,*,*,*
たい,助動詞,終止形,形容詞,たい,*,連用形,*,*,*
たがる,助動詞,終止形,五段,たがる,*,連用形,*,*,*
た,助動詞,終止形,特殊,た,*,連用形,*,*,*
だ,助動詞,終止形,特殊,だ,*,連用形,*,*,*
ます,助動詞,終止形,特殊,ます,*,連用形,*,*,*
そうだ,助動詞,終止形,形容動詞,そうだ,*,連用形,*,*,*
やがる,助動詞,終止形,五段,やがる,*,連用形,*,*,*
そうだ,助動詞,終止形,形容動詞,そうだ,*,終止形,*,*,*
らしい,助動詞,終止形,形容詞,らしい,*,終止形,*,*,*
べきだ,助動詞,終止形,形容動詞,べきだ,*,終止形,*,*,*
ようだ,助動詞,終止形,形容動詞,ようだ,*,連体形,*,*,*
だ,助動詞,終止形,形容動詞,だ,*,体言,*,*,*
です,助動詞,終止形,形容動詞,です,*,体言,*,*,*
